Model,MSE,MAPE,RMSE,MAE,R2
xgboost,7.121224131843173,0.1132179095455016,2.6685621843687986,1.934194650244677,0.9995995031207936
rf,70.619644644853,0.11695978884783029,8.40354952653062,3.7898648962934542,0.9959245470641739
knn,199.54031564447536,0.12500614676774385,14.12587397807567,6.1937564470595055,0.9887936984349175
mlp,261.5897427078875,0.3826680535921939,16.173736201258123,9.458093814113363,0.9847077597204453
