Variable:,pr
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
1990,712.46,645.97,689.80,708.74,705.50,683.70,715.34,794.75
1991,551.58,477.97,566.24,500.31,540.00,517.60,591.73,609.25
1992,574.93,593.32,538.28,620.67,565.84,550.60,547.98,596.77
1993,653.70,607.95,654.99,685.97,655.86,629.10,658.85,662.53
1994,615.06,631.46,575.38,671.89,625.61,608.20,570.82,627.86
1995,604.00,572.97,565.50,629.86,586.91,572.90,609.09,664.44
1996,581.49,580.46,593.69,581.28,591.81,585.00,561.15,574.77
1997,673.87,637.69,658.21,663.48,683.00,675.80,672.93,716.20
1998,786.84,708.06,767.74,756.78,823.18,840.00,817.85,827.69
1999,592.02,575.70,628.34,599.77,579.87,564.00,611.02,561.89
2000,629.39,595.22,598.01,617.58,629.82,610.90,631.10,693.38
2001,667.38,642.23,651.06,684.43,681.64,682.80,646.36,694.44
2002,557.51,563.19,577.04,584.74,562.98,543.20,542.94,521.78
2003,602.96,534.35,587.37,587.52,609.80,604.80,616.84,665.42
2004,694.16,666.34,682.38,709.68,732.81,725.00,666.46,700.21
2005,636.51,581.23,633.34,651.42,659.63,668.10,632.88,654.05
2006,597.61,531.83,621.14,580.09,586.87,578.50,631.86,623.00
2007,636.28,597.91,645.52,656.94,619.49,613.70,659.38,644.54
2008,682.05,693.69,662.02,710.36,697.68,687.20,658.08,676.83
2009,820.87,784.57,788.39,803.28,846.70,849.90,843.36,850.42
2010,730.71,743.24,664.31,812.57,745.52,725.20,676.27,760.92
2011,568.88,536.29,546.91,586.21,572.97,569.40,578.41,595.01
2012,765.68,666.72,779.26,716.05,776.41,786.20,812.00,816.56
2013,673.02,679.85,668.64,703.86,662.40,657.00,658.19,673.66
2014,573.00,550.93,527.73,600.43,586.18,582.50,546.53,624.82
2015,538.57,518.79,502.81,570.70,552.82,556.30,525.89,564.77
2016,716.00,697.97,665.76,762.18,720.32,719.10,705.41,754.76
2017,757.50,728.66,673.79,805.78,774.50,763.70,729.03,836.75
2018,591.06,543.36,584.67,584.01,590.39,582.10,611.50,625.53
2019,572.66,532.36,519.55,570.33,583.27,594.10,572.57,648.14
2020,605.60,564.04,564.01,601.68,604.15,598.10,622.78,671.01
2021,694.89,673.16,656.02,710.35,708.09,704.90,693.57,728.50
