Variable:,pr
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1962,502.47,509.70,453.87,501.41,508.94,531.64,467.82,489.38,519.09,521.25,481.29,519.99
1963,459.54,445.14,454.50,471.47,472.32,443.62,458.28,462.13,459.49,450.99,476.07,458.76
1964,479.44,504.02,448.92,467.31,466.51,514.81,441.43,461.88,497.22,508.67,441.04,509.04
1965,506.24,493.05,468.99,516.08,539.70,515.10,483.75,496.57,509.69,504.98,514.59,492.25
1966,635.13,593.02,623.47,662.68,663.36,592.52,637.60,646.23,660.73,637.32,652.87,619.53
1967,446.06,435.84,439.77,447.59,448.41,456.62,438.00,447.62,446.63,446.84,443.48,452.52
1968,540.22,534.07,474.19,551.83,561.41,557.11,500.76,525.79,577.00,565.46,516.28,550.28
1969,591.46,576.35,593.84,609.53,580.50,564.66,604.62,624.18,585.08,564.97,611.68,611.54
1970,623.01,637.12,541.68,634.76,646.58,648.81,564.78,594.63,671.47,663.44,570.22,641.74
1971,592.64,596.14,543.98,598.18,601.91,606.65,558.01,585.59,616.11,610.06,566.30,617.16
1972,598.76,606.71,615.72,602.56,571.21,577.32,604.57,619.56,607.33,595.76,581.00,633.61
1973,414.76,400.32,387.37,420.99,441.04,418.81,396.04,406.09,422.96,417.45,418.23,412.35
1974,581.88,613.77,520.55,570.09,566.47,639.95,528.99,561.97,605.26,616.31,529.75,621.45
1975,459.19,470.74,441.38,455.27,447.70,476.50,440.86,462.94,459.09,460.97,442.16,491.54
1976,551.82,566.26,493.01,559.90,561.39,568.30,518.14,540.60,565.05,558.93,538.45,575.32
1977,495.47,466.88,500.47,501.61,512.14,492.32,499.49,503.62,486.93,483.73,514.08,483.35
1978,578.61,596.83,529.96,576.82,581.93,617.95,536.21,555.10,601.99,604.52,539.72,596.55
1979,535.34,515.41,525.65,559.92,549.58,489.45,536.47,551.91,551.10,524.05,544.57,553.39
1980,644.30,624.11,598.14,663.50,668.86,641.98,619.83,645.36,672.90,655.06,634.34,641.04
1981,587.34,589.41,530.35,601.65,610.82,603.26,544.41,574.13,612.11,594.18,563.90,606.38
1982,404.74,397.51,386.23,418.17,411.09,387.56,393.11,405.16,432.58,411.29,392.64,417.48
1983,435.61,454.56,380.35,434.76,443.64,452.50,386.54,413.11,479.19,472.27,385.83,465.99
1984,582.46,577.02,552.48,608.34,591.25,547.05,565.45,597.48,613.57,580.72,567.15,611.48
1985,526.05,513.72,479.26,534.92,551.51,531.31,491.23,520.82,552.64,541.05,507.84,539.01
1986,383.44,347.28,386.08,402.17,397.22,352.72,399.67,408.53,379.85,361.15,415.34,375.26
1987,469.75,481.40,445.01,471.42,468.77,487.57,435.16,454.67,492.48,488.89,438.90,491.53
1988,578.19,553.02,550.23,603.34,600.40,555.94,574.01,591.88,593.82,564.83,592.47,571.67
1989,484.95,508.00,435.60,487.24,484.67,504.36,440.85,469.99,524.29,519.37,429.02,511.46
1990,395.22,383.42,355.29,409.96,422.06,385.98,370.93,385.88,431.64,411.01,377.92,392.75
1991,533.35,540.46,524.71,534.20,524.54,546.97,516.46,539.21,543.91,533.59,500.33,561.76
1992,442.54,451.68,388.12,444.50,447.26,477.21,397.63,426.81,461.77,471.95,418.35,453.63
1993,503.13,522.32,457.90,500.54,499.61,538.16,468.65,492.23,520.15,524.53,466.09,524.10
1994,387.47,392.97,362.38,385.07,387.89,406.96,367.78,382.62,399.85,402.67,363.31,398.01
1995,573.20,556.94,565.84,585.69,579.18,560.72,569.24,581.96,587.22,572.23,567.92,582.16
1996,556.64,582.81,497.76,548.88,554.46,608.01,496.89,532.79,580.81,596.74,508.96,580.60
1997,620.57,590.22,612.71,650.47,640.55,571.58,628.57,641.47,637.96,598.36,640.04,622.31
1998,526.87,532.88,495.22,524.66,529.35,552.60,502.34,517.94,538.63,538.76,502.04,544.10
1999,482.46,479.01,496.64,484.13,472.50,482.60,484.71,488.23,487.71,478.86,464.37,499.84
2000,427.84,433.60,365.03,438.51,451.15,443.19,380.53,401.91,459.75,454.74,405.98,437.78
2001,544.88,579.04,476.45,535.20,545.73,602.98,489.84,516.34,564.76,579.90,496.48,567.57
2002,512.50,508.04,489.06,525.07,524.61,489.00,492.59,509.33,546.84,517.59,488.86,548.33
