Variable:,pr
,"Republic of Serbia",Borski,Branicevski,"Grad Beograd",Jablanicki,Juzno-backi,Juzno-banatski,Kolubarski,Macvanski,Moravicki,Nisavski,Pcinjski,Pirotski,Podunavski,Pomoravski,Rasinski,Raski,Severno-backi,Severno-banatski,Srednje-banatski,Sremski,Sumadijski,Toplicki,Zajecarski,Zapadno-backi,Zlatiborski
1928,607.02,588.13,592.00,550.94,606.83,466.01,517.02,658.64,620.04,751.43,583.38,611.00,618.04,572.28,602.13,664.17,800.47,443.87,416.15,440.02,511.98,628.88,653.25,583.75,483.43,856.64
1929,792.02,739.96,780.76,731.29,817.76,607.61,680.69,859.80,781.84,990.35,791.37,801.08,814.45,775.77,811.41,892.46,1042.75,568.40,560.50,600.37,661.09,857.64,879.50,778.37,589.47,1033.55
1930,694.22,645.97,663.11,644.30,659.33,571.22,598.23,778.10,719.60,849.60,642.49,649.02,673.46,655.67,673.66,738.41,881.61,574.16,552.25,564.00,607.85,724.09,720.05,643.16,600.44,965.06
1931,772.21,747.20,771.39,724.04,743.51,612.16,680.45,846.16,785.21,944.00,745.00,724.77,783.02,754.90,783.01,839.99,980.18,577.05,561.04,604.29,666.88,821.99,813.02,758.39,605.68,1044.25
1932,739.08,695.17,746.96,742.17,600.86,652.09,687.26,859.41,821.96,910.23,638.73,558.60,617.86,739.67,737.15,775.27,922.18,588.11,590.52,634.23,712.62,793.44,712.89,670.28,617.00,1021.29
1933,776.89,773.38,784.45,739.97,688.84,637.85,697.63,848.89,814.07,943.84,715.06,667.23,734.62,759.09,786.22,834.72,987.67,608.76,589.99,623.85,695.18,816.38,785.77,756.78,649.56,1061.86
1934,746.91,700.92,744.13,722.67,674.88,637.83,666.57,855.45,797.41,915.43,675.53,651.70,684.89,730.70,741.24,792.48,939.40,588.74,580.22,614.93,688.41,797.19,755.03,681.52,615.87,1021.00
1935,649.27,645.76,651.73,608.56,614.23,532.28,581.07,698.67,657.42,780.81,610.11,604.46,644.38,629.61,652.27,699.92,821.80,519.24,506.66,528.41,572.44,678.70,673.14,629.87,541.36,851.49
1936,762.81,684.64,727.28,730.47,738.46,653.69,667.74,849.55,820.25,910.55,711.23,743.73,755.85,721.63,727.83,785.10,936.95,626.39,607.58,630.55,705.91,783.19,766.64,694.93,656.20,1039.68
1937,999.19,918.90,972.48,951.02,929.03,828.48,876.48,1116.67,1055.91,1244.58,926.11,903.93,947.83,968.90,987.60,1071.63,1286.24,781.04,753.81,793.72,897.65,1064.20,1024.42,922.09,832.66,1380.02
1938,689.46,670.25,691.10,648.11,664.17,558.14,609.76,753.92,711.20,841.09,662.52,650.57,684.47,668.53,696.18,749.75,878.11,525.31,515.06,546.07,606.98,725.22,726.78,671.42,554.17,905.60
1939,827.80,854.25,862.06,760.26,786.56,628.49,737.17,893.28,808.69,1026.90,798.82,765.87,829.97,820.47,868.24,919.57,1079.87,603.53,597.28,638.32,681.27,890.90,870.47,828.19,624.29,1108.88
1940,909.42,819.32,873.40,877.73,851.47,773.46,802.30,1021.07,987.66,1107.27,842.55,840.83,874.72,870.52,877.74,952.35,1136.70,728.49,701.80,738.50,842.15,950.00,925.01,834.20,771.40,1248.68
1941,875.12,845.34,871.52,846.85,785.40,726.75,777.87,997.40,946.03,1077.49,810.65,742.31,832.72,851.56,874.18,932.49,1105.57,647.17,639.95,694.65,803.29,924.43,888.51,840.49,684.94,1216.19
1942,707.89,701.65,711.63,661.58,671.01,560.62,620.74,771.75,729.83,871.22,676.44,655.99,704.42,684.75,717.57,771.24,916.33,517.30,505.74,541.64,616.57,742.39,740.03,698.08,550.26,966.15
