Variable:,pr
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1917,1038.78,942.39,944.11,1199.52,737.64,1000.45,1082.73,952.00,925.53,1132.46,934.60,1010.44,1036.50,886.49,782.19,1154.23,946.20,983.46,1257.80,1264.91,907.11,960.91,1310.26,963.67,1084.58,1138.99,1034.30,1079.48,779.41,1140.13,1226.26,1289.50,982.77,1105.56,1016.28,1101.04,1062.55
1918,1102.10,1041.84,996.27,1418.14,911.00,998.90,1065.75,1024.25,984.02,1354.01,1079.60,971.89,1035.18,1115.07,948.79,1121.60,1019.50,970.55,1193.70,1198.11,987.98,1016.69,1166.09,1054.46,1071.26,1102.53,1038.10,1304.77,931.98,1076.76,1450.99,1181.63,1151.50,1282.62,1032.45,1037.42,1198.25
1919,1404.43,1358.47,1260.39,1750.41,1137.52,1231.50,1380.61,1324.90,1287.25,1681.63,1395.70,1212.19,1353.66,1368.32,1198.91,1431.20,1336.40,1196.06,1491.40,1499.50,1261.75,1331.73,1580.02,1373.30,1338.02,1371.17,1361.50,1623.53,1179.15,1376.52,1782.45,1554.08,1470.15,1626.97,1348.47,1331.88,1535.13
1920,1020.10,928.39,907.99,1337.81,856.14,922.21,971.00,923.49,871.48,1264.83,970.90,931.27,937.41,1082.92,875.98,1034.08,903.30,912.00,1114.20,1118.82,894.69,904.89,1143.27,938.18,990.46,1024.86,941.30,1217.02,854.61,1027.23,1378.71,1132.77,1047.52,1162.53,936.16,999.95,1067.74
1921,934.94,835.89,831.19,1159.39,718.04,881.14,927.95,835.55,803.70,1095.26,852.80,913.95,883.69,912.70,743.04,1001.16,825.50,883.55,1104.40,1108.81,801.52,833.50,1096.81,853.98,952.09,1000.55,881.60,1049.76,730.79,995.44,1189.02,1089.73,914.91,1040.65,870.72,970.86,978.73
1922,1146.63,1061.04,1037.81,1306.02,797.39,1087.99,1173.10,1056.31,1028.30,1243.91,1059.20,1124.50,1127.96,944.96,861.32,1250.72,1061.50,1077.96,1354.80,1361.86,1002.20,1069.37,1482.27,1079.71,1178.17,1232.94,1130.20,1189.22,860.36,1265.88,1329.77,1430.31,1104.35,1233.84,1112.41,1235.67,1187.22
1923,1377.98,1359.80,1255.25,1642.31,1023.43,1232.81,1413.32,1327.04,1316.91,1582.45,1358.70,1201.55,1386.86,1234.12,1103.58,1458.76,1359.70,1183.72,1515.80,1524.17,1247.56,1358.06,1566.19,1381.57,1349.33,1386.54,1392.70,1523.25,1092.55,1370.29,1662.26,1551.07,1415.30,1573.93,1373.37,1317.01,1515.58
1924,1125.50,1038.21,1029.75,1306.68,826.19,1070.89,1144.24,1042.41,1007.17,1243.72,1044.00,1085.84,1103.29,986.93,876.39,1213.47,1034.30,1054.89,1308.00,1313.78,999.52,1043.67,1383.38,1056.40,1151.35,1198.91,1104.00,1192.17,872.35,1214.37,1331.95,1354.60,1093.48,1221.45,1090.06,1183.28,1172.96
1925,1093.29,973.53,1040.56,1035.89,771.81,1121.14,1167.16,1019.58,948.28,1022.02,974.20,1171.40,1116.07,853.44,819.77,1255.73,973.00,1119.62,1375.80,1381.66,991.21,997.82,1526.57,976.90,1198.51,1259.24,1116.70,999.36,828.61,1308.26,1035.65,1464.75,985.59,1038.90,1099.33,1285.52,1017.46
1926,1084.33,985.80,1045.59,1089.74,765.08,1099.36,1143.73,1032.50,948.32,1065.85,998.50,1120.38,1103.93,864.33,823.08,1220.88,978.40,1083.28,1317.50,1322.19,1006.07,998.89,1430.05,984.75,1170.87,1218.22,1109.00,1036.11,829.22,1247.80,1095.52,1384.23,1014.28,1067.74,1096.37,1222.99,1035.04
