Variable:,tas
,Iceland,Arnes,Austur-baroastrandar,Austur-hunavatns,Austur-skaftafells,Borgarfjaroar,Dala,Eyjafjaroar,Gullbringu,Kjosar,Myra,"Nordhurland Eystra",Norour-isafjaroar,Norour-mùla,Norour-pingeyjar,Rangárvalla,Skagafjaroar,"Snaefellsnes- Og Hna",Stranda,Suour-mùla,Suour-pingeyjar,Vestur-baroastrandar,Vestur-hunavatns,Vestur-isafjaroar,Vestur-skaftafells
1928,2.09,2.58,2.60,1.58,1.22,1.99,2.76,1.34,5.41,4.05,2.55,2.55,2.50,1.37,2.22,3.14,1.36,3.90,2.32,2.40,0.94,3.20,1.93,2.92,3.53
1929,2.01,2.50,2.46,1.49,1.16,1.91,2.65,1.25,5.33,3.97,2.46,2.46,2.35,1.30,2.14,3.08,1.27,3.80,2.18,2.36,0.87,3.06,1.83,2.79,3.49
1930,1.41,1.86,1.76,0.89,0.59,1.22,1.93,0.70,4.57,3.24,1.74,1.74,1.66,0.76,1.65,2.46,0.69,3.04,1.50,1.85,0.31,2.34,1.19,2.08,2.89
1931,1.27,1.76,1.61,0.76,0.47,1.10,1.76,0.52,4.44,3.10,1.60,1.60,1.51,0.65,1.43,2.36,0.54,2.88,1.35,1.72,0.19,2.18,1.06,1.91,2.77
1932,1.92,2.43,2.38,1.40,1.06,1.82,2.56,1.13,5.23,3.87,2.37,2.37,2.28,1.22,2.02,3.00,1.17,3.71,2.11,2.27,0.78,3.00,1.75,2.72,3.40
1933,2.67,3.13,3.07,2.20,1.81,2.50,3.23,1.96,5.78,4.49,3.02,3.02,2.97,2.02,2.86,3.70,1.98,4.30,2.81,3.06,1.59,3.62,2.50,3.36,4.10
1934,1.91,2.38,2.27,1.42,1.10,1.74,2.46,1.19,5.07,3.75,2.26,2.26,2.17,1.27,2.11,2.97,1.21,3.55,2.01,2.33,0.83,2.83,1.73,2.57,3.40
1935,1.60,2.09,1.96,1.09,0.79,1.45,2.16,0.85,4.78,3.45,1.97,1.97,1.85,0.94,1.77,2.67,0.88,3.26,1.70,2.00,0.50,2.52,1.43,2.26,3.09
1936,1.35,1.86,1.67,0.82,0.58,1.20,1.86,0.56,4.57,3.22,1.71,1.71,1.54,0.72,1.46,2.46,0.59,2.99,1.40,1.81,0.25,2.23,1.13,1.96,2.90
1937,1.53,2.05,1.82,1.03,0.76,1.39,2.04,0.77,4.71,3.39,1.88,1.88,1.68,0.87,1.65,2.62,0.79,3.13,1.56,1.97,0.44,2.36,1.34,2.09,3.07
1938,1.70,2.20,2.00,1.21,0.92,1.54,2.20,0.97,4.86,3.57,2.04,2.04,1.87,1.02,1.92,2.77,1.01,3.31,1.74,2.12,0.60,2.55,1.51,2.28,3.22
1939,2.28,2.84,2.61,1.80,1.45,2.20,2.84,1.53,5.54,4.22,2.70,2.70,2.47,1.56,2.41,3.38,1.57,3.96,2.35,2.63,1.18,3.16,2.11,2.89,3.80
1940,1.44,1.98,1.70,0.92,0.71,1.31,1.93,0.65,4.65,3.32,1.79,1.79,1.57,0.81,1.54,2.58,0.68,3.04,1.44,1.90,0.36,2.26,1.23,1.99,3.02
1941,2.29,2.85,2.60,1.80,1.52,2.19,2.83,1.51,5.51,4.21,2.68,2.68,2.45,1.61,2.34,3.43,1.55,3.93,2.34,2.70,1.18,3.14,2.12,2.86,3.86
1942,1.71,2.26,1.97,1.19,0.98,1.58,2.22,0.92,4.90,3.60,2.07,2.07,1.82,1.08,1.77,2.86,0.95,3.32,1.72,2.18,0.62,2.50,1.52,2.23,3.30
1943,0.93,1.47,1.17,0.39,0.23,0.78,1.41,0.11,4.12,2.80,1.26,1.26,1.03,0.31,0.98,2.09,0.14,2.52,0.91,1.41,-0.16,1.72,0.70,1.44,2.55
