Variable:,pr
,"Republic of Montenegro",Andrijevica,Bar,Berane,"Bijelo Polje",Budva,Cetinje,Danilovgrad,"Herceg Novi",Kolasin,Kotor,Mojkovac,Niksic,Plav,Pljevlja,Pluzine,Podgorica,Rozaj,Savnik,Tivat,Ulcinj,Zabljak
1928,1165.87,1070.40,1492.90,1052.81,990.98,1267.80,1273.59,1206.89,1190.90,1136.07,1235.64,1077.41,1201.22,1060.71,1011.05,1095.94,1350.45,987.70,1109.09,1267.80,1485.75,1020.31
1929,1272.91,1186.90,1517.00,1188.73,1127.17,1407.30,1385.84,1310.26,1304.91,1250.13,1354.27,1194.19,1310.07,1193.07,1126.98,1190.98,1407.67,1195.50,1220.62,1407.30,1481.51,1133.14
1930,1293.28,1205.00,1536.13,1173.97,1123.93,1408.60,1417.29,1343.22,1338.35,1276.65,1398.41,1218.83,1364.99,1178.78,1156.59,1231.14,1430.92,1059.10,1253.80,1408.60,1494.00,1169.10
1931,1324.02,1237.30,1657.62,1215.23,1172.13,1433.00,1411.68,1383.52,1312.57,1317.37,1359.32,1253.38,1326.02,1222.40,1178.61,1244.31,1522.38,1133.50,1286.81,1433.00,1628.81,1187.82
1932,1263.22,1189.20,1456.97,1155.24,1131.85,1287.50,1324.99,1328.53,1239.03,1272.40,1313.56,1224.15,1312.85,1159.26,1188.05,1216.04,1386.49,1029.50,1263.78,1287.50,1385.74,1198.22
1933,1412.77,1307.00,1762.57,1280.78,1222.31,1521.20,1526.59,1476.93,1428.77,1397.40,1485.23,1327.49,1452.46,1288.64,1252.53,1320.72,1617.72,1183.70,1368.15,1521.20,1716.49,1264.58
1934,1268.43,1197.00,1501.24,1171.52,1137.58,1358.00,1353.19,1307.36,1270.90,1254.32,1324.45,1207.88,1298.08,1176.50,1157.68,1235.86,1402.01,1077.20,1236.47,1358.00,1482.64,1165.68
1935,1184.93,1092.40,1548.77,1071.81,991.07,1332.80,1303.36,1243.92,1210.81,1171.11,1248.37,1098.15,1200.33,1080.45,1014.20,1075.75,1396.94,995.60,1132.48,1332.80,1537.27,1024.78
1936,1334.76,1240.20,1633.68,1208.77,1173.53,1440.10,1440.66,1388.90,1346.46,1318.98,1405.37,1259.31,1375.14,1214.93,1195.95,1282.33,1508.32,1092.40,1296.30,1440.10,1576.90,1204.69
1937,1745.18,1621.20,2112.87,1592.64,1533.30,1840.00,1863.75,1825.31,1751.86,1734.21,1825.93,1654.11,1801.37,1599.02,1576.39,1661.39,1964.50,1486.90,1706.11,1840.00,1995.40,1586.91
1938,1082.31,1046.80,1296.22,1037.21,987.56,1122.80,1116.88,1124.92,1033.84,1090.27,1082.18,1048.55,1067.43,1042.25,999.75,994.04,1216.09,1001.70,1064.10,1122.80,1295.88,1005.18
1939,1432.07,1338.90,1742.81,1323.21,1258.99,1538.40,1525.03,1489.25,1425.74,1421.49,1480.59,1360.78,1447.32,1329.55,1301.07,1342.16,1614.44,1265.10,1398.67,1538.40,1719.08,1312.99
1940,1517.24,1422.60,1816.25,1393.72,1366.83,1657.50,1625.37,1572.08,1515.06,1504.71,1579.04,1445.63,1537.64,1398.54,1384.78,1463.27,1690.38,1286.80,1482.63,1657.50,1749.47,1390.62
1941,1515.88,1440.10,1760.79,1405.01,1365.23,1603.00,1601.51,1589.54,1503.84,1529.00,1571.39,1465.04,1551.87,1407.12,1401.20,1453.00,1669.25,1275.10,1504.83,1603.00,1663.39,1411.31
1942,1269.94,1184.70,1575.49,1166.01,1105.97,1397.00,1376.09,1324.14,1281.42,1258.73,1332.26,1195.99,1292.00,1172.53,1124.61,1175.03,1448.36,1096.80,1227.63,1397.00,1534.48,1134.44
1943,1264.74,1189.50,1525.18,1160.96,1113.44,1394.00,1376.30,1315.45,1289.93,1255.72,1342.85,1198.27,1302.92,1166.22,1133.89,1182.68,1415.82,1055.30,1227.13,1394.00,1492.68,1142.02
