Variable:,pr
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1924,1163.52,1021.10,1089.35,1097.28,910.07,848.10,1081.53,937.66,919.55,1293.06,1235.81,880.67,1099.01,915.90,1455.27,1464.30,1122.68,965.10,1226.30,915.39,943.52,1367.85,1495.89,1348.47,978.10,1109.18,1077.22
1925,1127.78,1062.26,1013.28,1024.05,993.44,923.50,1117.42,973.03,878.80,1206.43,1136.66,983.22,1120.23,957.46,1393.68,1400.10,1045.14,969.98,1182.77,1006.59,909.19,1221.46,1432.09,1273.49,969.81,1089.14,1057.01
1926,1267.18,1039.15,1153.72,1164.86,931.19,867.40,1151.83,1021.25,1021.31,1387.40,1394.04,914.88,1128.92,971.82,1524.66,1528.00,1189.58,997.26,1285.89,940.78,989.97,1570.72,1623.16,1519.07,1081.99,1134.82,1106.38
1927,1343.86,1203.54,1223.72,1234.69,1081.33,1019.60,1292.14,1160.05,1109.80,1446.55,1387.16,1066.51,1285.97,1108.20,1667.50,1678.60,1258.88,1107.51,1387.81,1091.35,1073.18,1503.71,1702.07,1565.92,1188.14,1265.26,1225.30
1928,1273.14,1031.73,1124.85,1133.56,975.09,882.50,1207.96,1093.14,1073.39,1379.30,1360.58,976.26,1142.51,1051.29,1590.19,1599.90,1161.15,960.67,1280.22,994.00,912.98,1503.64,1665.02,1524.94,1147.71,1114.44,1081.52
1929,992.01,866.58,915.07,922.82,799.36,741.80,950.15,829.34,812.51,1075.68,1025.96,765.13,935.81,798.48,1249.47,1260.40,940.08,821.67,1026.88,802.11,808.09,1154.16,1268.76,1150.02,854.53,923.64,901.86
1930,1391.60,1263.98,1273.52,1284.77,1162.67,1086.20,1384.02,1246.71,1223.82,1431.33,1321.67,1164.72,1357.91,1214.81,1734.06,1758.20,1295.62,1172.88,1407.69,1179.32,1140.12,1519.94,1672.46,1659.69,1298.70,1315.91,1278.51
1931,1264.82,1184.47,1162.45,1171.33,1122.06,1056.30,1235.63,1083.47,1055.38,1358.50,1306.96,1094.70,1242.94,1089.36,1530.76,1533.50,1191.41,1078.06,1309.12,1129.43,1037.14,1381.62,1602.11,1398.28,1117.79,1200.06,1165.78
1932,1157.88,1018.30,1055.42,1064.48,947.39,895.30,1110.53,974.25,950.31,1236.99,1158.08,919.45,1093.11,963.26,1436.84,1450.40,1083.14,939.53,1180.48,949.82,909.35,1332.44,1444.64,1402.52,1030.88,1073.85,1042.02
1933,1112.68,970.47,1079.22,1087.56,885.03,803.00,1027.10,885.01,849.20,1247.70,1211.64,829.54,1042.45,845.66,1341.29,1342.40,1104.01,918.99,1187.63,888.64,913.64,1325.14,1425.06,1270.16,905.13,1070.33,1039.39
1934,1113.12,903.76,1025.06,1031.19,807.53,731.20,992.30,850.77,817.27,1246.88,1256.76,791.16,986.97,821.39,1351.64,1352.30,1059.79,869.14,1155.36,820.26,868.74,1394.57,1459.40,1341.35,900.19,1010.70,983.10
1935,1389.95,1164.38,1225.54,1234.65,1102.85,1009.20,1347.74,1216.52,1235.13,1465.90,1434.61,1123.59,1279.17,1205.88,1726.63,1740.70,1259.70,1069.78,1395.74,1125.62,1027.65,1573.19,1769.36,1665.17,1290.43,1240.50,1201.50
1936,1303.01,1189.17,1174.72,1185.58,1098.73,1021.50,1273.81,1092.97,996.32,1372.50,1282.13,1069.77,1268.12,1060.62,1621.53,1633.60,1203.86,1082.83,1338.48,1108.85,1039.14,1478.38,1642.61,1567.16,1111.31,1227.11,1188.24
1937,1292.37,1097.56,1133.64,1143.20,1024.97,958.60,1200.11,1070.73,1032.08,1394.28,1394.69,995.44,1179.03,1043.81,1548.50,1547.90,1173.84,1011.48,1310.96,1030.14,959.41,1553.00,1670.27,1546.92,1114.23,1159.58,1124.25
1938,1126.80,1062.83,1022.06,1033.06,992.07,919.70,1099.52,934.58,857.82,1208.80,1113.35,953.72,1119.50,919.50,1383.70,1390.90,1054.28,999.97,1189.53,999.15,936.11,1260.84,1411.61,1305.17,947.35,1103.17,1077.00
1939,1473.13,1359.18,1386.14,1399.62,1278.60,1208.90,1416.81,1237.82,1150.74,1630.57,1533.59,1245.76,1429.05,1216.01,1783.88,1788.60,1429.33,1311.67,1573.80,1285.26,1263.67,1633.27,1859.73,1626.79,1240.25,1441.48,1415.41
1940,1394.16,1277.87,1395.61,1409.16,1144.42,1039.30,1345.22,1194.85,1177.94,1541.78,1418.80,1104.61,1371.27,1154.34,1756.48,1772.40,1413.03,1219.37,1503.37,1156.20,1197.00,1537.47,1755.19,1521.71,1219.67,1389.97,1353.34
1941,1141.00,975.34,1107.13,1116.30,882.23,825.20,1031.29,892.85,981.71,1269.30,1223.23,905.22,1034.89,945.22,1365.86,1370.90,1132.00,952.34,1189.55,897.63,968.54,1353.22,1429.93,1329.19,992.43,1068.98,1048.57
