Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1928,489.61,491.18,569.66,580.45,427.19,448.26,665.60,493.43,331.52,530.92,425.89,391.00,559.28,590.46,460.93,367.29,389.68,483.06,535.12,535.13,526.19,540.19,489.60,703.59,390.99,605.56
1929,478.16,534.96,544.62,547.70,443.92,407.46,676.67,446.20,305.62,492.47,490.65,343.29,531.90,635.00,422.41,368.07,369.14,542.12,533.61,546.86,525.64,472.46,535.10,705.04,348.80,536.33
1930,567.36,612.66,636.91,642.28,520.65,438.76,781.44,512.19,445.26,601.75,588.36,406.07,638.52,717.03,434.80,513.17,478.83,595.75,624.79,622.20,611.29,587.12,606.35,833.50,448.89,667.67
1931,569.35,567.81,583.17,589.54,522.12,501.57,732.45,556.82,510.11,559.26,531.94,613.94,610.12,709.62,478.78,510.04,480.51,527.04,614.23,590.83,569.25,576.84,583.45,798.15,523.74,647.27
1932,607.52,657.43,679.22,626.55,616.14,565.60,687.43,652.11,489.39,587.00,620.44,492.49,664.30,630.96,567.93,547.25,526.06,676.51,604.74,697.64,563.09,607.32,554.25,712.87,549.09,664.21
1933,681.82,713.53,770.00,762.59,608.05,632.44,912.30,628.78,541.60,685.41,651.04,587.49,771.37,832.20,616.44,586.20,600.52,660.02,718.48,721.79,691.35,690.06,672.45,958.50,598.64,783.19
1934,411.90,383.27,451.37,505.88,330.83,371.94,615.70,374.79,274.73,469.56,338.05,325.88,433.40,601.94,379.89,297.94,336.45,362.40,494.18,443.10,501.21,438.04,514.80,666.04,339.75,480.07
1935,526.91,513.52,646.42,525.96,495.93,491.57,678.63,562.79,388.32,512.94,477.98,446.55,564.81,657.19,483.66,396.78,375.75,570.87,580.62,645.81,541.59,469.48,577.01,735.05,449.15,593.92
1936,539.90,571.36,618.42,619.07,463.14,454.29,792.43,512.87,339.58,574.07,504.68,404.10,612.33,768.84,452.71,403.72,420.87,558.66,607.49,603.07,615.41,568.31,613.58,874.36,383.69,630.28
1937,596.49,638.31,718.64,623.81,530.41,466.34,705.52,543.11,473.84,629.27,557.10,605.97,706.18,667.26,437.21,489.01,497.75,603.04,636.30,682.22,600.61,657.91,581.27,777.11,530.03,736.16
1938,522.37,489.05,519.14,646.39,478.84,429.61,815.40,473.45,440.52,573.24,460.05,494.12,539.89,762.53,406.50,435.70,404.26,454.63,605.11,467.85,625.29,536.75,594.96,864.74,478.20,615.93
1939,551.58,540.65,541.25,578.23,504.22,524.88,727.13,477.62,505.97,564.44,506.22,664.23,568.59,695.04,485.45,475.50,438.26,516.32,615.22,519.76,598.02,535.27,586.16,791.01,540.39,617.06
1940,604.24,589.87,611.06,764.21,527.94,575.11,886.07,550.71,483.10,645.98,538.92,565.04,626.54,789.59,543.85,498.59,551.21,570.19,617.93,618.38,677.13,636.25,619.56,947.52,540.74,651.66
1941,713.25,706.29,749.72,849.92,646.48,679.88,1031.71,750.19,512.08,761.00,651.71,560.18,726.82,923.53,694.84,569.41,608.51,766.08,709.53,827.49,816.10,735.16,699.79,1061.32,580.74,732.15
1942,451.08,444.84,466.95,527.68,429.02,436.29,619.94,465.01,343.63,462.01,435.96,365.41,438.91,581.21,431.28,372.80,370.62,475.18,459.11,503.03,496.46,452.33,484.60,663.99,410.07,448.59
1943,495.86,512.68,518.08,557.69,430.09,390.81,648.42,433.18,424.46,534.37,481.74,478.64,529.76,608.64,348.86,456.94,510.50,486.06,540.43,526.81,541.79,541.59,532.81,653.12,419.93,566.29
1944,528.14,534.99,565.67,648.02,456.81,494.02,787.42,473.82,389.13,567.57,494.92,440.98,559.51,705.11,485.09,435.11,437.97,504.11,566.65,544.43,615.85,542.47,547.74,846.86,454.33,589.29
1945,495.60,447.35,538.72,516.35,455.21,533.13,666.18,521.34,356.00,486.21,413.36,433.76,488.68,647.96,533.18,345.32,354.51,501.08,576.33,589.84,522.18,444.81,611.34,708.75,458.10,527.65
1946,426.81,430.96,389.96,469.82,431.15,476.08,521.96,403.03,368.70,396.49,435.09,377.03,406.09,497.49,452.47,409.98,398.62,403.95,454.68,406.51,404.52,410.73,469.76,576.30,425.48,434.72
1947,597.92,642.50,701.59,658.41,549.18,572.29,748.80,641.32,400.92,597.85,573.66,422.58,680.09,677.10,578.25,488.68,495.74,634.34,609.79,714.14,602.87,620.94,573.58,782.90,486.98,695.03
1948,511.23,539.69,549.59,601.76,441.75,417.22,727.86,515.41,294.66,581.55,483.04,327.41,572.15,702.46,431.06,379.30,394.86,528.93,622.31,574.30,592.81,571.86,627.22,760.06,369.16,612.89
1949,516.07,574.29,572.86,618.50,438.57,377.92,706.53,441.81,357.96,602.93,524.75,382.17,592.65,670.22,354.10,465.22,484.95,503.64,577.07,540.62,598.29,608.69,548.50,736.82,387.14,632.40
1950,490.16,494.46,538.57,556.55,460.57,409.45,662.21,501.99,420.25,458.60,467.79,466.02,495.49,617.43,427.08,425.91,396.81,514.43,516.99,574.44,490.52,467.10,543.81,726.31,422.48,493.03
1951,434.34,408.10,446.95,554.06,351.70,375.44,684.65,405.31,316.79,479.90,381.48,371.07,436.83,630.55,383.59,357.99,362.08,387.29,491.24,496.67,518.53,447.76,495.38,735.85,337.86,492.91
1952,633.27,698.45,700.75,555.17,638.98,554.74,727.91,639.18,538.88,515.23,697.44,531.53,668.09,756.17,536.92,638.47,591.13,717.93,626.12,766.89,558.22,558.63,641.41,862.01,575.65,619.18
1953,446.98,466.79,496.60,477.54,398.16,366.96,618.21,390.44,345.96,459.49,442.50,397.23,499.15,605.10,359.54,386.53,378.52,430.36,480.90,476.01,484.88,461.16,465.56,692.99,378.34,519.46
1954,508.56,489.35,539.96,577.52,436.66,401.29,716.71,503.68,390.21,550.72,463.38,446.03,540.82,664.25,399.40,429.24,467.67,499.13,590.48,567.48,571.97,524.48,571.41,745.65,395.82,597.35
1955,618.62,577.66,541.43,802.70,546.22,550.90,983.63,556.14,486.87,720.45,564.51,622.11,590.88,857.83,526.32,509.81,575.04,560.00,685.56,574.58,774.72,667.54,663.59,1000.01,548.02,671.06
