Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1934,1134.63,945.90,1431.65,995.68,490.77,768.25,2242.27,1502.89,1197.37,1309.27,956.04,904.90,1019.90,2157.55,1031.56,1965.05,1100.58,672.89,1896.11,1132.34
1935,1051.08,921.19,1344.29,921.21,548.59,746.12,1956.38,1362.04,1122.39,1087.65,938.22,835.24,987.19,1989.96,989.32,1696.21,1025.61,707.68,1798.98,1103.07
1936,974.74,717.54,1064.89,698.21,509.98,604.67,1592.86,1550.57,1094.03,1264.23,761.67,758.45,762.32,1558.60,988.35,1672.04,799.47,698.75,1427.39,870.92
1937,852.92,751.81,1063.48,805.35,387.38,663.98,1354.63,1046.54,963.07,1049.06,730.64,750.65,813.76,1400.93,796.48,1293.34,848.68,602.93,1380.67,868.48
1938,1218.54,842.24,1520.55,964.55,521.78,735.05,2566.76,1746.03,1312.26,1426.27,868.83,902.11,901.81,2448.34,1142.22,2206.11,1131.94,703.90,2042.92,1065.06
1939,972.54,766.31,1163.60,811.56,447.29,647.29,1703.66,1383.14,999.54,1286.16,764.58,777.79,819.22,1676.07,898.59,1592.48,906.51,702.73,1516.05,910.45
1940,916.37,652.09,903.75,674.52,485.98,619.49,1448.90,1504.36,1115.20,1137.08,667.43,758.09,694.57,1354.45,1012.92,1582.83,707.79,616.11,1204.40,731.65
1941,840.22,555.68,857.47,594.52,410.73,525.97,1288.67,1312.12,1068.26,1223.93,582.61,629.70,590.02,1229.26,904.83,1360.64,663.14,639.35,1088.88,681.47
1942,1015.61,675.04,1146.20,758.32,452.11,598.98,1814.21,1544.49,1138.09,1384.35,670.07,773.57,720.79,1752.84,968.93,1792.44,858.90,724.97,1543.61,823.57
1943,1079.37,703.31,1149.75,771.95,518.01,605.32,2025.77,1625.18,1239.43,1503.27,737.27,766.93,748.82,1810.97,1007.44,1989.74,868.84,740.00,1530.90,848.69
1944,1037.76,890.02,1227.28,899.00,445.47,766.87,1849.81,1491.58,1176.07,1202.21,876.37,870.10,942.02,1846.17,1033.38,1751.04,954.92,581.03,1634.23,1000.74
1945,953.98,647.04,926.16,687.49,446.72,571.14,1610.56,1536.04,1214.25,1312.98,706.77,731.59,687.29,1411.30,1009.26,1657.05,748.70,697.73,1193.09,752.95
1946,993.02,810.58,1244.50,814.04,475.74,658.11,1803.36,1202.78,1075.55,1329.59,835.02,722.72,868.38,1859.55,849.21,1570.65,923.76,728.60,1671.41,946.82
1947,832.93,442.15,766.92,510.69,505.19,447.60,1361.69,1386.17,997.39,1178.98,450.49,619.62,477.00,1222.28,874.71,1481.45,560.97,657.24,1021.96,539.04
1948,1112.43,823.10,1288.98,890.19,572.15,666.74,1998.77,1495.30,1198.29,1519.30,809.87,835.01,884.15,1949.71,962.43,1867.65,981.50,816.28,1722.19,995.35
1949,1147.75,805.48,1300.24,832.71,503.74,652.95,2314.40,1641.62,1267.05,1575.22,870.48,801.01,862.90,2088.26,1026.94,2110.85,971.56,729.97,1758.57,1008.53
1950,1016.42,988.97,1411.03,1015.21,366.72,800.46,2026.66,1223.10,1130.17,1024.73,1004.28,849.44,1065.30,1997.43,933.99,1666.11,1128.57,506.57,1822.38,1151.11
1951,945.40,871.82,1274.85,860.96,540.63,643.30,1629.44,1071.21,926.14,1178.74,887.56,708.35,945.24,1713.30,753.55,1390.12,980.45,713.36,1648.25,1102.04
1952,913.05,685.78,989.32,701.58,486.97,603.27,1647.53,1348.44,1067.77,1063.69,682.99,702.38,727.22,1518.41,904.81,1565.07,771.02,674.39,1328.95,748.32
1953,1147.73,809.17,1196.58,845.97,533.00,729.36,2137.00,1756.03,1300.58,1531.62,837.78,883.83,857.22,1867.17,1116.38,2090.94,930.26,750.96,1581.40,933.50
1954,1008.65,911.81,1415.28,922.40,513.38,682.12,1900.65,1265.86,967.47,1091.24,920.12,792.74,984.04,2008.75,828.52,1641.59,1062.40,660.86,1891.88,1124.07
1955,937.31,521.40,885.51,547.40,560.14,452.52,1634.77,1639.40,1175.97,1269.40,566.57,629.48,555.13,1420.44,967.68,1733.27,656.91,701.08,1195.31,653.61
1956,932.56,624.87,989.13,674.79,409.32,577.89,1738.13,1583.09,1045.68,1134.81,643.67,746.01,666.19,1545.48,967.32,1771.57,762.41,626.92,1305.81,726.04
1957,1112.57,801.29,1180.99,822.45,559.36,725.38,2088.53,1792.15,1204.97,1324.97,823.62,876.48,840.49,1893.24,1104.59,2086.84,889.96,686.91,1584.52,906.44
1958,931.97,683.41,1070.47,731.78,515.08,569.17,1504.45,1262.27,1028.38,1324.16,710.79,688.70,727.64,1458.59,861.66,1463.67,833.42,740.79,1393.26,841.57
1959,943.63,734.76,1084.52,766.30,596.30,606.63,1463.41,1113.00,1068.16,1294.38,719.21,698.58,801.96,1565.36,853.29,1342.96,835.83,792.71,1443.75,912.14
1960,871.36,916.86,1148.61,894.18,428.51,759.13,1326.79,1054.55,953.34,859.02,932.91,806.96,985.61,1492.17,857.19,1257.71,929.03,553.48,1485.58,1073.39
1961,1128.75,834.13,1284.15,894.98,629.25,709.84,1900.70,1485.38,1286.79,1542.86,793.95,858.03,898.23,1923.63,1019.08,1741.35,977.31,855.73,1721.41,956.72
1962,1042.19,888.57,1243.25,846.26,536.79,678.62,1822.88,1383.69,1144.69,1354.19,950.87,764.92,958.41,1875.52,989.88,1569.17,961.16,780.46,1630.78,1065.98
1963,965.94,809.74,1137.55,845.91,529.60,668.32,1516.83,1192.75,1064.40,1332.30,815.95,755.79,865.46,1546.83,863.94,1415.60,908.58,747.28,1435.00,974.49
1964,1169.33,780.81,1129.14,860.17,649.87,714.46,2041.18,1570.35,1304.04,1771.92,759.53,864.45,837.18,1772.71,1087.32,1927.93,924.35,953.17,1461.42,879.43
1965,945.64,865.88,1047.91,830.29,598.33,688.01,1435.43,1244.29,1083.51,1122.35,846.27,759.99,931.88,1429.12,944.07,1371.09,865.95,708.44,1341.37,985.01
1966,1004.18,886.92,1223.59,902.69,526.24,739.51,1785.49,1223.04,1095.21,1177.25,847.34,813.76,970.03,1780.42,923.95,1587.42,952.22,619.81,1640.20,1040.27
1967,1244.36,952.82,1670.08,1027.89,569.95,767.00,2725.11,1748.58,1228.25,1255.26,990.78,922.77,1025.73,2632.47,1095.22,2313.78,1231.13,731.33,2237.96,1217.26
