Variable:,tas
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
1936,1.76,4.82,4.17,1.69,-0.63,1.37,3.25,3.50,2.94,1.48,6.03,0.27,4.88,4.98,2.53,2.51,2.64,-0.13,5.14,5.96
1937,2.00,4.64,3.84,1.43,0.38,1.37,2.95,3.43,3.36,2.23,5.79,0.17,4.65,4.63,2.62,2.28,2.32,0.78,4.79,5.67
1938,2.90,5.69,4.81,2.39,1.26,2.36,3.84,4.25,4.26,3.08,6.89,1.07,5.70,5.53,3.58,3.10,3.30,1.64,5.70,6.81
1939,1.50,4.55,3.99,1.43,-1.09,1.11,3.01,3.29,2.86,1.28,5.86,0.02,4.60,4.74,2.35,2.28,2.40,-0.57,4.95,5.75
1940,0.21,2.90,2.51,0.02,-1.77,-0.59,1.68,1.82,1.17,0.15,4.16,-1.49,3.04,3.36,0.72,0.96,0.97,-1.25,3.49,4.14
1941,-0.01,2.73,2.36,-0.11,-2.47,-0.62,1.58,1.85,1.12,-0.16,3.97,-1.51,2.84,3.25,0.73,0.91,0.82,-1.67,3.35,3.93
1942,-0.12,2.62,2.15,-0.29,-2.43,-0.68,1.42,1.69,1.06,-0.27,3.79,-1.64,2.70,3.01,0.67,0.73,0.60,-1.84,3.11,3.78
1943,2.12,5.13,4.44,1.88,-0.03,1.72,3.41,3.71,3.40,1.96,6.36,0.51,5.15,5.17,2.88,2.65,2.85,0.33,5.38,6.25
1944,1.73,4.69,4.13,1.54,-0.25,1.17,3.09,3.23,2.81,1.55,6.02,0.04,4.75,4.86,2.33,2.28,2.54,0.07,5.08,5.94
1945,1.65,4.90,4.48,1.85,-1.38,1.33,3.46,3.51,2.79,1.30,6.25,0.30,4.99,5.22,2.48,2.65,2.86,-0.54,5.42,6.16
1946,1.74,4.50,3.98,1.50,-0.53,1.15,3.15,3.42,3.04,1.78,5.75,0.12,4.56,4.78,2.48,2.44,2.44,0.13,4.92,5.69
1947,0.83,3.68,3.28,0.71,-1.41,0.29,2.36,2.52,2.00,0.57,4.97,-0.74,3.77,4.07,1.56,1.59,1.68,-1.00,4.25,4.90
1948,1.84,4.65,4.15,1.57,-0.40,1.27,3.16,3.45,3.19,1.85,5.92,0.16,4.74,4.93,2.60,2.40,2.55,0.18,5.13,5.86
1949,2.35,5.76,5.02,2.47,-0.36,2.16,3.90,4.01,3.50,1.95,7.04,0.93,5.82,5.71,3.16,3.04,3.45,0.25,5.92,6.97
1950,1.66,4.42,3.96,1.42,-0.30,0.93,3.03,3.28,2.76,1.54,5.74,-0.04,4.54,4.74,2.27,2.34,2.39,0.06,4.92,5.68
1951,1.14,4.40,3.84,1.30,-1.47,0.81,2.87,3.00,2.10,0.55,5.70,-0.21,4.50,4.63,1.93,2.10,2.28,-1.09,4.77,5.63
1952,0.39,3.37,2.92,0.31,-1.70,-0.18,1.89,2.08,1.39,-0.06,4.69,-1.16,3.47,3.69,1.03,1.16,1.29,-1.50,3.89,4.63
1953,2.61,5.49,4.84,2.39,0.15,2.18,3.95,4.33,4.00,2.64,6.67,1.04,5.55,5.64,3.47,3.27,3.28,0.93,5.77,6.63
1954,1.43,4.01,3.52,1.01,-0.30,0.66,2.65,2.98,2.62,1.51,5.20,-0.36,4.10,4.38,2.01,1.97,1.96,0.09,4.50,5.15
1955,0.30,3.94,3.47,0.90,-3.13,0.32,2.41,2.43,1.32,-0.69,5.22,-0.67,4.07,4.21,1.34,1.57,1.87,-2.62,4.41,5.20
1956,0.37,3.27,2.96,0.41,-2.25,-0.13,2.09,2.28,1.47,0.02,4.51,-1.00,3.39,3.78,1.19,1.39,1.37,-1.69,3.92,4.52
1957,1.42,4.40,3.87,1.29,-0.76,0.88,2.84,3.00,2.52,1.22,5.69,-0.19,4.49,4.62,2.06,2.05,2.26,-0.32,4.80,5.63
1958,0.65,3.56,3.23,0.60,-1.79,0.04,2.27,2.35,1.71,0.49,4.86,-0.90,3.66,4.04,1.28,1.52,1.62,-1.11,4.22,4.82
1959,2.29,5.22,4.56,2.07,0.05,1.80,3.58,3.89,3.61,2.24,6.49,0.69,5.28,5.29,3.04,2.86,2.96,0.67,5.48,6.39
1960,1.29,4.04,3.54,1.06,-0.75,0.64,2.75,2.94,2.30,1.19,5.23,-0.34,4.11,4.43,1.88,2.04,2.01,-0.23,4.52,5.17
1961,2.09,5.06,4.39,1.90,-0.27,1.67,3.41,3.80,3.48,1.97,6.31,0.54,5.13,5.14,2.94,2.71,2.82,0.19,5.32,6.23
1962,0.46,3.32,2.98,0.38,-2.04,-0.10,2.02,2.26,1.70,0.32,4.59,-1.05,3.42,3.78,1.25,1.30,1.37,-1.50,3.98,4.58
1963,0.98,3.29,2.69,0.34,-1.12,0.29,2.03,2.75,2.62,1.44,4.39,-0.75,3.31,3.55,1.90,1.57,1.15,-0.22,3.71,4.30
1964,1.51,4.10,3.50,1.01,-0.56,0.89,2.62,3.10,3.03,1.80,5.31,-0.25,4.15,4.28,2.30,1.98,1.91,0.17,4.47,5.22
1965,0.45,3.34,2.96,0.38,-2.24,-0.03,2.05,2.31,1.81,0.29,4.59,-1.02,3.43,3.78,1.32,1.36,1.35,-1.60,4.00,4.53
1966,-0.11,3.13,2.72,0.13,-3.12,-0.41,1.79,1.89,1.00,-0.65,4.40,-1.35,3.22,3.51,0.78,1.05,1.09,-2.50,3.72,4.29
1967,1.45,4.50,3.99,1.38,-0.82,1.00,2.94,3.16,2.52,1.08,5.80,-0.07,4.57,4.73,2.19,2.19,2.34,-0.51,4.98,5.72
1968,0.42,3.61,3.41,0.63,-2.60,-0.02,2.29,2.32,1.56,-0.01,5.06,-0.93,3.75,4.13,1.22,1.48,1.70,-1.86,4.46,4.98
1969,0.76,3.77,3.28,0.77,-1.88,0.29,2.37,2.63,1.90,0.51,5.05,-0.65,3.87,4.08,1.56,1.67,1.72,-1.14,4.24,4.97
1970,0.68,3.16,2.81,0.27,-1.21,-0.09,1.96,2.33,1.90,0.73,4.33,-1.05,3.24,3.63,1.34,1.32,1.20,-0.74,3.81,4.30
1971,1.19,4.67,4.16,1.58,-2.35,1.17,3.12,3.27,2.46,0.62,5.96,0.11,4.74,4.89,2.28,2.32,2.55,-1.46,5.08,5.88
1972,1.93,4.56,3.88,1.41,0.24,1.24,2.96,3.43,3.25,2.11,5.79,0.12,4.59,4.65,2.56,2.32,2.32,0.70,4.80,5.67
1973,1.39,4.71,4.12,1.53,-1.48,1.25,3.01,3.20,2.72,0.93,5.99,0.07,4.77,4.80,2.36,2.20,2.48,-0.97,5.02,5.92
1974,2.38,5.27,4.65,2.16,0.50,1.77,3.71,3.86,3.45,2.22,6.50,0.69,5.33,5.45,2.90,2.94,3.10,0.85,5.58,6.40
1975,2.19,5.71,4.94,2.37,-0.71,2.11,3.79,3.84,3.47,1.78,6.98,0.81,5.72,5.58,3.05,2.90,3.30,-0.10,5.83,6.86
1976,0.81,4.03,3.64,1.00,-1.91,0.42,2.55,2.60,1.82,0.34,5.38,-0.57,4.12,4.37,1.54,1.75,2.00,-1.37,4.56,5.35
1977,0.81,4.07,3.50,0.94,-1.72,0.43,2.45,2.48,1.84,0.39,5.37,-0.63,4.15,4.26,1.47,1.62,1.90,-1.26,4.44,5.30
1978,0.49,3.74,3.39,0.75,-2.39,0.11,2.37,2.35,1.38,-0.02,5.06,-0.83,3.87,4.18,1.23,1.54,1.77,-1.66,4.37,5.02
1979,0.34,2.89,2.41,-0.18,-1.42,-0.46,1.41,1.80,1.59,0.64,4.17,-1.52,2.96,3.17,0.87,0.75,0.78,-0.83,3.36,4.10
1980,0.66,3.48,3.24,0.60,-1.90,0.06,2.28,2.43,1.82,0.56,4.75,-0.86,3.58,4.08,1.36,1.51,1.63,-1.18,4.29,4.73
1981,0.20,3.41,3.00,0.33,-2.54,-0.15,1.92,2.03,1.30,-0.26,4.74,-1.17,3.48,3.73,1.00,1.14,1.34,-2.05,4.00,4.67
1982,1.54,4.62,4.04,1.58,-1.09,1.12,3.15,3.30,2.68,1.32,5.84,0.10,4.71,4.88,2.29,2.38,2.52,-0.43,4.99,5.80
1983,1.67,5.15,4.41,1.91,-1.25,1.56,3.32,3.45,2.84,1.19,6.43,0.40,5.21,5.12,2.53,2.48,2.84,-0.71,5.28,6.36
1984,1.75,4.80,4.13,1.67,-0.57,1.31,3.19,3.42,2.93,1.54,6.06,0.23,4.89,4.93,2.46,2.41,2.61,-0.12,5.01,6.00
1985,-0.12,2.64,2.43,-0.11,-2.70,-0.76,1.64,1.87,0.92,-0.44,3.90,-1.53,2.78,3.34,0.66,0.98,0.87,-2.12,3.47,3.92
1986,0.80,3.73,3.04,0.64,-1.48,0.34,2.16,2.50,2.02,0.70,4.88,-0.72,3.80,3.86,1.56,1.47,1.52,-0.94,3.94,4.85
1987,0.31,2.83,2.64,0.10,-2.25,-0.36,1.94,2.29,1.65,0.28,3.97,-1.20,2.94,3.59,1.20,1.33,1.11,-1.59,3.66,4.03
1988,1.64,4.92,4.48,1.88,-1.61,1.49,3.45,3.66,2.98,1.16,6.15,0.43,5.02,5.26,2.71,2.66,2.89,-0.96,5.42,6.17
1989,2.73,5.92,5.19,2.64,0.48,2.40,4.06,4.28,3.91,2.46,7.19,1.18,5.96,5.88,3.47,3.24,3.59,0.88,6.06,7.13
1990,2.86,5.99,5.38,2.80,0.31,2.49,4.26,4.47,4.09,2.77,7.28,1.34,6.06,6.06,3.59,3.46,3.74,1.09,6.27,7.22
1991,2.00,5.03,4.39,1.90,-0.51,1.59,3.43,3.68,3.29,1.91,6.23,0.48,5.09,5.17,2.79,2.68,2.83,0.15,5.31,6.19
1992,2.32,5.47,4.88,2.29,-0.13,1.93,3.81,3.92,3.41,2.07,6.72,0.78,5.53,5.62,3.00,2.99,3.25,0.50,5.82,6.67
1993,1.34,4.29,3.73,1.17,-0.97,0.82,2.73,2.90,2.53,1.39,5.52,-0.29,4.35,4.49,1.97,1.95,2.15,-0.24,4.63,5.49
1994,1.42,4.62,4.15,1.44,-0.80,0.89,2.98,2.95,2.27,1.04,5.99,-0.17,4.72,4.85,1.92,2.11,2.46,-0.41,5.13,5.92
1995,1.48,4.59,4.16,1.50,-1.06,1.06,3.04,3.13,2.64,1.21,5.90,-0.02,4.67,4.89,2.20,2.19,2.52,-0.52,5.10,5.89
1996,0.90,3.51,2.96,0.49,-1.00,0.15,2.12,2.42,2.19,1.16,4.72,-0.90,3.56,3.81,1.47,1.42,1.44,-0.46,3.91,4.66
1997,2.17,5.33,4.74,2.22,-0.72,1.92,3.77,3.90,3.49,2.01,6.50,0.76,5.36,5.53,3.01,2.94,3.20,0.13,5.62,6.50
1998,1.40,4.57,4.07,1.49,-1.87,1.21,3.09,3.32,2.90,1.28,5.76,0.10,4.63,4.85,2.42,2.33,2.48,-0.87,4.99,5.73
1999,2.04,5.21,4.74,2.16,-0.85,1.76,3.73,3.85,3.24,1.74,6.43,0.70,5.27,5.52,2.88,2.94,3.14,-0.10,5.69,6.39
2000,2.76,5.88,5.18,2.71,0.34,2.47,4.05,4.43,3.98,2.55,7.11,1.29,5.90,5.85,3.59,3.39,3.60,0.83,6.07,6.93
2001,1.51,4.50,3.93,1.30,-0.77,1.08,2.92,3.12,2.69,1.33,5.73,-0.10,4.49,4.72,2.25,2.15,2.32,-0.25,4.90,5.60
2002,2.18,5.33,4.83,2.25,-0.73,1.93,3.80,4.06,3.49,1.90,6.59,0.82,5.37,5.56,3.12,3.04,3.22,-0.05,5.78,6.50
2003,2.33,5.10,4.65,2.18,-0.13,1.90,3.84,4.15,3.58,2.18,6.31,0.88,5.15,5.45,3.18,3.16,3.06,0.45,5.60,6.28
2004,2.36,5.15,4.75,2.21,0.06,1.87,3.84,4.12,3.55,2.16,6.40,0.85,5.20,5.53,3.14,3.12,3.16,0.51,5.70,6.35
2005,2.49,5.29,4.75,2.21,0.45,1.99,3.76,4.08,3.71,2.42,6.54,0.86,5.29,5.49,3.19,3.05,3.17,0.84,5.67,6.45
2006,2.82,5.79,5.31,2.79,0.13,2.52,4.36,4.68,4.13,2.56,7.03,1.45,5.82,6.06,3.74,3.65,3.73,0.74,6.26,6.96
2007,2.50,5.45,5.04,2.33,0.29,2.00,3.86,4.06,3.68,2.36,6.80,0.84,5.50,5.79,3.16,3.02,3.42,0.74,6.03,6.70
2008,2.61,5.84,5.40,2.73,-0.30,2.34,4.25,4.46,3.93,2.27,7.15,1.23,5.88,6.14,3.54,3.45,3.78,0.31,6.36,7.05
2009,2.18,5.10,4.69,2.11,-0.33,1.66,3.77,3.96,3.43,1.99,6.37,0.65,5.16,5.53,2.94,3.02,3.08,0.29,5.70,6.33
2010,0.32,2.94,2.66,0.03,-1.35,-0.55,1.79,1.81,1.28,0.20,4.27,-1.52,3.01,3.53,0.72,0.96,1.04,-1.10,3.71,4.29
2011,2.91,5.62,4.99,2.47,0.84,2.38,4.05,4.48,4.34,3.09,6.88,1.20,5.62,5.77,3.70,3.38,3.40,1.46,5.95,6.71
2012,1.53,4.58,4.13,1.51,-0.83,1.07,3.11,3.25,2.60,1.16,5.89,0.01,4.64,4.93,2.26,2.31,2.53,-0.47,5.09,5.81
2013,2.25,4.88,4.32,1.78,0.51,1.59,3.37,3.73,3.52,2.36,6.16,0.45,4.91,5.14,2.90,2.65,2.72,0.90,5.28,6.01
2014,3.26,6.63,6.00,3.47,0.24,3.10,4.93,5.16,4.53,2.82,7.85,2.01,6.69,6.71,4.21,4.16,4.41,0.91,6.95,7.73
2015,2.88,5.70,5.06,2.67,0.68,2.35,4.19,4.56,4.13,2.84,6.87,1.32,5.77,5.83,3.62,3.55,3.53,1.23,6.01,6.81
2016,2.55,5.26,4.78,2.25,0.74,1.86,3.83,4.10,3.63,2.42,6.53,0.85,5.35,5.54,3.13,3.12,3.17,1.15,5.73,6.48
2017,2.23,5.15,4.65,2.18,-0.31,1.81,3.78,4.05,3.53,1.99,6.41,0.80,5.25,5.47,3.09,3.08,3.08,0.27,5.62,6.36
2018,2.50,5.47,4.98,2.38,0.38,1.97,3.89,4.08,3.60,2.23,6.81,0.90,5.57,5.67,3.13,3.12,3.36,0.81,5.93,6.75
2019,2.22,5.54,5.08,2.42,-0.73,1.97,3.95,4.15,3.46,1.71,6.87,0.93,5.63,5.73,3.11,3.20,3.43,-0.15,6.04,6.80
2020,3.34,6.47,5.84,3.31,0.85,3.03,4.74,5.12,4.57,3.05,7.68,1.92,6.52,6.47,4.19,4.06,4.22,1.33,6.79,7.57
2021,2.06,5.07,4.59,2.06,-0.48,1.65,3.65,3.87,3.24,1.71,6.36,0.65,5.16,5.37,2.87,2.93,2.99,0.07,5.55,6.31
