Variable:,pr
,Russia,"Adygeya Rep.","Aginskiy Buryatskiy A. Okrug","Altay Rep.","Altayskiy Kray","Amurskaya Oblast","Arkhangelskaya Oblast","Astrakhanskaya Oblast","Bashkortostan Rep.","Belgorodskaya Oblast","Bryanskaya Oblast","Buryatiya Rep.","Chechnya Rep.","Chelyabinskaya Oblast","Chitinskaya Oblast","Chukotskiy Okrug","Chuvashiya Rep.","Dagestan Rep.","Evenkiyskiy Okrug","Ingushetiya Rep.","Irkutskaya Oblast","Ivanovskaya Oblast","Kabardino-balkariya Rep.","Kaliningradskaya Oblast","Kalmykiya Rep.","Kaluzhskaya Oblast","Kamchatskaya Oblast","Karatchayevo-cherkesiya Rep.","Karelya Rep.","Kemerovskaya Oblast","Khabarovskiy Kray","Khakasiya Rep.","Khanty-mansyiskiy Okrug","Kirovskaya Oblast","Komi Rep.","Komi-permyatskiy Okrug","Koryakskiy Okrug","Kostromskaya Oblast","Krasnodarskiy Kray","Krasnoyarskiy Kray","Kurganskaya Oblast","Kurskaya Oblast","Administrative unit not available","Leningradskaya Oblast","Lipetskaya Oblast","Magadanskaya Oblast","Mariy-el Rep.","Mordoviya Rep.","Moskovskaya Oblast",Moskva,"Murmanskaya Oblast","Name Unknown","Nenetskiy Okrug","Nizhegorodskaya Oblast","Novgorodskaya Oblast","Novosibirskaya Oblast","Omskaya Oblast","Orenburgskaya Oblast","Orlovskaya Oblast","Penzenskaya Oblast","Permskaya Oblast","Primorskiy Kray","Pskovskaya Oblast","Rostovskaya Oblast","Ryazanskaya Oblast","Sakha Rep.","Sakhalinskaya Oblast","Samarskaya Oblast",Sankt-peterburg,"Saratovskaya Oblast","Severnaya Osetiya-alaniya Rep.","Smolenskaya Oblast","Stavropolskiy Kray","Sverdlovskaya Oblast","Tambovskaya Oblast","Tatarstan Rep.","Taymyrskiy Okrug","Tomskaya Oblast","Tulskaya Oblast","Tverskaya Oblast","Tyumenskaya Oblast","Tyva Rep.","Udmurtiya Rep.","Ulyanovskaya Oblast","Ustordynskiy Buryatskiy Okrug","Vladimirskaya Oblast","Volgogradskaya Oblast","Vologodskaya Oblast","Voronezhskaya Oblast","Yamalo-nenetskiy Okrug","Yaroslavskaya Oblast","Yevreyskaya A. Oblast"
1911,419.56,683.82,331.06,505.29,503.34,378.74,577.36,229.01,412.02,430.71,492.44,422.58,708.59,363.49,320.68,270.39,408.08,628.36,451.76,849.03,388.03,511.42,800.30,581.73,281.32,499.06,765.48,863.51,590.99,485.86,590.49,546.31,497.49,559.66,526.62,567.39,457.58,560.37,548.24,473.90,298.54,454.05,354.50,683.41,396.56,360.29,465.20,412.21,534.74,567.70,491.48,372.80,398.75,473.67,644.28,409.62,417.63,322.00,446.16,391.39,536.87,739.96,609.41,389.45,430.56,287.17,817.97,355.09,677.69,315.10,887.05,550.37,430.81,431.91,374.26,419.93,295.04,485.97,450.19,590.44,387.91,543.73,508.87,381.08,393.48,497.75,283.56,593.09,384.41,407.66,550.84,712.22
1912,448.13,989.59,330.57,507.34,516.47,504.45,524.65,289.79,552.91,670.85,727.41,453.01,664.89,435.52,362.90,302.24,619.61,550.13,446.89,902.25,428.13,698.34,958.97,748.45,339.39,698.39,956.83,1082.72,545.30,574.45,573.83,622.56,430.08,623.10,423.63,568.29,475.56,676.68,806.97,525.77,365.56,702.43,292.78,614.61,654.50,363.38,643.15,656.06,680.43,713.54,494.52,480.12,368.06,685.34,586.86,430.54,412.93,447.71,719.53,649.60,542.16,710.03,626.46,544.82,666.62,299.78,750.24,568.70,618.77,534.13,1026.76,721.96,513.72,426.12,652.97,617.52,305.23,540.98,681.46,605.37,435.57,560.27,611.41,590.42,432.76,682.92,483.35,591.64,652.01,389.73,649.02,548.57
1913,445.67,789.36,363.08,540.80,508.86,489.52,554.59,246.28,641.51,556.50,623.33,449.31,518.47,514.45,390.18,300.00,591.75,458.69,452.56,700.34,471.76,650.21,775.61,776.50,269.34,654.71,794.20,933.41,502.80,588.82,533.26,657.01,462.52,710.70,494.40,692.32,469.92,702.50,644.29,573.41,388.77,620.23,259.68,584.20,521.65,356.25,629.08,578.55,665.02,707.25,430.61,361.48,378.64,627.38,641.39,428.46,395.00,491.20,617.39,583.91,680.40,682.76,607.68,435.43,519.93,282.89,719.05,615.85,550.88,528.24,826.67,662.95,377.86,512.46,486.87,638.98,278.31,546.60,599.79,668.57,405.57,568.81,677.78,616.54,452.15,618.78,409.03,636.35,491.39,406.33,657.44,456.30
1914,437.18,837.14,392.32,518.71,535.53,476.06,555.75,265.11,505.59,529.68,527.11,481.94,782.92,420.23,411.49,281.01,561.00,696.37,456.02,1061.49,417.03,588.44,1043.86,699.18,323.88,540.79,614.19,1123.67,533.69,575.39,542.86,620.28,504.37,686.51,507.95,686.66,418.30,634.11,646.55,558.52,379.87,548.59,367.41,558.78,488.41,337.89,606.24,572.84,594.77,644.29,470.69,456.64,347.27,606.81,569.17,459.78,478.96,431.74,550.20,531.82,654.63,791.67,517.53,464.39,529.08,266.51,728.32,505.56,525.48,428.46,1155.13,527.23,550.33,499.06,454.05,567.97,302.01,552.06,550.95,563.18,462.27,552.55,639.83,551.80,450.47,581.68,373.21,609.62,470.21,396.28,582.27,570.96
1915,464.37,1079.13,384.12,539.66,486.13,612.88,612.24,367.09,642.28,697.25,717.53,470.94,808.59,626.03,402.53,286.65,581.14,703.88,428.46,1088.54,384.71,591.67,1123.54,673.76,405.96,721.97,855.58,1287.92,510.86,490.50,668.73,573.03,519.64,692.74,575.18,711.79,438.17,670.35,866.74,421.84,498.15,723.27,379.61,621.68,688.59,331.75,612.79,636.41,662.34,692.61,447.07,580.38,384.71,602.78,649.70,376.55,436.59,490.17,747.76,687.51,723.56,904.70,645.68,654.11,629.16,300.72,855.01,617.63,615.22,620.30,1204.76,723.13,618.97,605.21,660.61,633.12,257.38,435.32,705.97,664.52,508.15,549.65,680.19,636.76,437.96,582.44,585.74,660.61,688.98,403.75,645.53,787.16
1916,435.94,750.65,409.32,389.46,370.43,567.83,597.55,243.97,497.48,563.75,695.52,448.95,667.38,443.27,402.54,248.18,581.87,579.33,454.04,840.01,371.56,649.18,843.50,789.20,305.23,716.75,711.05,937.47,548.38,444.69,606.56,503.22,477.50,634.74,550.03,677.62,408.53,669.08,621.85,491.83,351.35,608.09,333.75,654.98,597.51,330.11,595.30,624.76,692.77,728.97,427.28,430.90,360.39,623.66,665.49,321.99,342.85,366.44,667.12,620.08,648.23,689.66,681.30,534.31,622.46,287.36,796.55,529.97,648.48,485.77,877.64,758.29,483.89,504.19,576.29,569.45,296.89,445.38,668.77,674.90,406.13,510.07,599.28,585.32,379.12,644.17,473.80,654.80,575.65,408.14,690.63,558.55
1917,421.17,853.89,267.41,435.02,444.60,523.17,553.59,192.78,422.40,558.68,631.88,454.13,559.29,363.16,321.38,292.61,481.35,466.82,447.07,783.55,461.64,560.97,861.64,679.10,248.60,620.14,865.14,993.06,554.73,480.28,568.32,484.49,473.41,546.39,484.74,556.02,423.17,573.01,674.29,463.24,302.40,584.82,268.20,634.40,514.14,310.27,520.63,491.28,591.35,607.73,497.11,394.47,336.03,531.65,650.47,413.79,416.83,340.85,604.41,476.50,532.80,672.76,650.84,453.51,505.87,276.45,813.03,444.91,636.71,371.27,909.44,672.88,435.90,393.49,471.53,476.80,275.63,532.04,575.36,629.54,381.50,508.45,518.30,454.08,451.24,540.92,319.85,576.21,494.14,389.79,598.60,586.56
1918,427.55,620.93,270.91,396.25,428.49,506.72,579.42,230.08,529.84,484.67,538.53,393.32,647.37,418.22,329.58,240.02,592.13,621.57,438.00,828.10,380.30,668.05,735.07,593.37,274.49,543.88,890.61,772.08,505.75,469.30,559.63,525.34,524.48,675.42,576.32,692.42,416.29,708.72,509.71,455.36,321.72,519.87,347.81,618.15,476.51,330.79,643.49,562.60,575.31,595.91,410.72,352.59,348.48,646.83,590.24,388.87,363.32,450.65,518.31,516.60,671.04,718.10,584.23,398.48,525.59,299.70,737.80,570.19,606.71,439.28,874.52,574.66,384.01,500.54,464.96,583.01,273.56,479.67,532.70,580.96,408.65,521.08,633.63,557.52,377.98,605.35,345.79,640.74,451.10,423.67,627.45,579.05
1919,455.90,971.35,371.87,566.43,587.30,535.32,522.80,260.16,507.07,707.58,664.96,500.90,682.80,441.73,414.84,299.07,605.24,589.32,444.35,964.21,439.91,559.26,1044.10,695.48,315.80,665.37,853.56,1177.39,497.97,613.05,604.41,692.73,484.41,622.43,495.61,622.59,441.55,579.29,784.37,534.53,411.54,738.79,291.30,553.74,707.01,352.74,618.80,644.42,620.68,622.32,426.56,506.58,346.01,612.84,555.90,491.27,465.12,413.92,740.93,694.03,623.32,745.64,559.73,576.41,649.62,312.49,804.16,541.08,533.61,558.38,1113.02,619.43,532.03,489.58,678.20,585.76,250.17,549.50,712.70,578.45,456.39,594.38,632.23,627.80,504.48,582.17,492.69,535.59,659.77,397.61,548.61,574.66
1920,413.12,686.22,355.50,428.84,487.37,623.33,520.64,243.90,372.21,379.08,390.38,420.18,693.72,376.70,419.47,309.88,383.12,652.92,447.03,938.31,385.36,441.08,921.96,593.15,301.65,392.56,639.32,940.28,517.67,502.88,614.04,505.80,422.74,491.66,498.22,538.84,467.55,498.71,551.62,475.54,290.01,391.57,339.50,494.00,350.50,360.41,413.85,383.21,383.44,394.62,494.18,355.64,357.70,428.76,444.37,413.62,379.26,275.19,389.99,373.01,492.87,696.14,468.73,373.28,358.79,297.57,746.56,324.00,495.74,330.21,1061.39,420.82,431.50,391.84,339.86,328.21,281.28,500.18,390.35,404.97,356.15,586.20,421.14,359.59,370.44,398.27,323.22,458.26,358.06,398.65,412.04,571.06
