Variable:,pr
,Macedonia,Berovo,Bitola,Brod,Debar,Delcevo,"Demir Hisar",Gevgelija,Gostivar,Kavadarci,Kicevo,Kocani,Kratovo,"Kriva Palanka",Krusevo,Kumanovo,Negotino,Ohrid,Prilep,Probistip,Radovic,Resen,Skopje,Stip,Struga,Strumica,"Sveti Nikole",Tetovo,Valandovo,Veles,Vinica
1924,674.12,653.18,639.56,746.10,927.18,663.43,686.31,540.18,969.08,565.82,870.85,626.89,722.75,732.36,662.50,624.66,551.15,845.18,616.28,623.86,587.95,747.47,681.30,549.33,852.41,560.14,548.32,833.85,536.65,571.28,639.19
1925,687.66,671.85,635.82,761.95,947.50,681.64,685.64,551.38,1008.88,574.21,891.44,644.04,749.70,758.83,662.00,655.73,562.28,838.48,621.38,642.29,602.68,728.98,706.85,562.20,850.49,574.52,560.77,874.99,548.17,583.31,656.89
1926,633.43,553.87,595.38,730.93,926.81,561.47,657.03,479.29,982.49,520.10,866.55,555.65,656.64,662.69,631.70,592.68,498.97,822.94,580.05,565.05,518.49,702.87,664.25,498.50,833.78,480.30,513.98,833.77,473.41,545.68,546.55
1927,697.87,648.23,657.36,780.79,1009.80,658.43,726.29,537.63,1044.83,568.31,937.52,630.41,731.09,739.61,696.30,643.43,552.86,925.16,631.25,630.69,589.40,791.77,709.20,556.04,935.46,555.52,560.38,881.35,533.71,587.64,635.64
1928,665.09,604.15,666.60,737.62,960.59,603.93,719.88,536.80,969.61,565.64,888.97,571.71,636.03,643.25,691.80,562.99,539.43,912.82,627.18,572.28,555.51,810.57,652.27,523.68,915.74,543.81,527.46,805.68,533.30,556.26,593.20
1929,737.30,726.62,692.71,811.61,999.29,734.90,748.96,591.55,1048.12,616.86,943.81,693.53,805.88,816.39,723.90,697.53,602.90,911.38,673.36,692.94,651.21,797.58,746.68,607.92,923.65,621.50,602.18,907.06,589.09,624.09,710.56
1930,696.57,671.76,718.78,752.19,940.37,661.57,729.77,612.70,952.61,629.82,879.39,606.84,656.40,663.78,706.10,582.09,602.43,898.96,669.55,605.01,609.73,847.86,668.72,564.30,894.95,617.09,555.66,813.34,609.14,579.95,657.36
1931,723.76,693.69,710.85,782.14,998.97,695.72,755.12,608.85,1018.55,626.03,930.26,654.20,732.47,742.05,728.10,635.30,609.59,939.06,673.04,652.62,631.69,842.34,708.36,590.97,943.54,621.06,584.97,862.75,605.42,607.45,679.76
1932,513.38,439.77,479.50,591.69,778.46,449.34,529.79,373.63,827.11,404.82,720.68,443.05,532.75,536.07,506.30,496.32,387.91,685.54,457.61,448.68,407.28,584.28,546.85,389.23,693.59,378.76,405.59,706.26,369.64,432.97,433.06
1933,676.84,626.88,667.67,748.61,972.33,630.26,714.29,547.30,996.89,574.41,900.46,593.21,668.28,675.57,686.80,594.12,550.46,899.57,630.55,591.22,570.22,796.87,672.62,533.38,906.12,556.43,535.42,839.63,543.42,563.25,614.09
1934,635.48,555.23,617.76,719.27,926.24,563.50,670.64,486.84,957.72,525.99,860.54,554.07,648.93,655.24,643.80,582.93,502.03,851.85,587.12,560.87,518.55,744.40,650.86,496.54,857.87,487.63,510.48,809.88,481.41,540.99,547.45
1935,635.67,567.62,623.11,713.37,956.00,572.01,690.60,495.42,964.34,517.79,877.04,542.76,615.95,622.86,659.60,545.74,497.86,901.38,582.12,542.14,518.08,778.39,630.89,486.94,906.81,506.81,492.78,797.50,492.81,522.23,556.40
1936,789.31,764.44,815.17,836.73,1050.87,759.06,832.51,690.99,1064.31,723.52,984.52,704.94,775.01,785.94,807.70,664.79,687.81,1007.27,770.16,703.46,696.02,942.21,748.61,646.37,1005.55,690.28,634.96,896.57,684.79,659.23,748.46
1937,912.67,853.84,892.15,1016.12,1270.20,854.61,965.55,741.81,1296.97,784.12,1188.88,815.30,915.19,926.63,931.80,798.67,755.31,1191.78,859.78,819.27,786.86,1048.15,905.26,745.64,1201.03,754.27,749.20,1088.55,736.17,784.56,839.48
1938,648.01,597.69,638.67,713.04,906.82,603.14,674.59,530.94,936.12,552.48,847.02,577.17,655.94,663.44,649.80,579.31,533.47,844.17,600.86,578.05,550.30,762.09,646.71,519.46,847.45,538.95,520.86,795.37,527.78,545.29,587.09
1939,786.85,714.27,809.35,859.56,1103.21,718.33,851.12,643.08,1109.47,692.49,1024.87,684.78,770.43,779.51,821.60,678.03,652.75,1055.52,759.65,685.66,659.84,962.14,766.31,621.38,1057.03,634.77,625.71,933.89,634.82,658.55,701.90
1940,854.24,821.57,852.77,931.40,1152.00,822.80,898.43,721.76,1176.40,753.13,1083.27,776.01,867.25,879.71,870.40,740.96,726.59,1091.30,812.78,775.53,750.47,994.09,829.85,703.47,1093.96,731.37,690.20,994.87,716.37,716.76,805.40
1941,665.86,639.83,599.00,750.98,941.41,653.01,664.25,521.03,997.78,536.60,881.98,623.94,726.18,735.15,637.90,634.13,534.87,836.33,584.80,622.21,578.46,709.78,691.43,544.68,848.05,546.72,545.10,858.64,518.66,567.83,627.06
1942,655.88,603.24,641.75,727.82,938.59,609.06,689.35,525.32,965.18,553.19,871.55,579.71,662.94,670.63,662.80,584.20,531.43,868.93,607.95,580.09,551.34,768.90,656.05,518.03,874.55,533.32,521.49,815.21,521.21,548.43,591.88
1943,608.28,546.15,592.41,677.74,892.39,548.98,645.93,484.76,916.95,508.30,824.35,524.53,601.62,607.31,619.50,542.64,488.24,824.06,560.85,527.18,501.64,717.05,612.42,472.34,830.24,489.11,478.41,772.27,480.99,505.27,536.04
1944,790.29,765.99,757.38,874.06,1090.92,769.65,818.74,645.00,1128.19,673.05,1023.48,723.11,813.19,823.94,790.10,704.16,656.36,1009.83,731.23,720.80,693.70,888.09,786.11,649.76,1018.47,663.99,643.90,956.11,640.53,670.11,750.35
1945,573.92,494.18,570.72,646.96,857.27,497.28,616.89,441.33,879.04,471.85,790.70,484.32,559.93,564.77,590.60,509.09,449.04,797.43,530.45,490.32,460.74,704.67,580.19,439.45,800.19,442.79,447.97,735.76,437.41,475.86,486.79
1946,602.47,555.80,581.04,669.63,865.97,557.60,627.39,494.65,896.65,501.28,804.85,528.68,599.99,606.44,602.20,533.91,489.66,798.28,546.17,529.66,507.92,704.03,604.98,477.01,803.04,509.42,479.37,755.29,493.94,503.35,544.85
1947,579.81,525.86,571.08,644.89,844.95,530.04,619.04,457.92,867.89,483.59,782.50,503.15,578.75,585.14,594.60,513.17,461.78,783.61,537.52,503.91,478.69,689.38,580.77,448.33,789.47,465.22,453.98,730.17,454.46,479.79,515.27
1948,526.27,491.88,496.49,581.24,739.96,499.34,526.79,416.97,787.55,438.16,692.33,479.16,564.72,570.42,507.20,505.07,425.45,657.50,475.16,481.31,447.30,582.70,544.80,420.27,663.40,426.57,424.98,684.11,413.58,444.71,482.20
1949,689.74,620.44,694.63,768.02,989.17,625.38,742.98,542.00,1008.53,586.95,919.54,598.09,687.95,695.78,715.50,607.45,551.46,930.16,656.23,600.95,569.26,828.56,685.16,536.11,934.67,545.60,544.14,845.91,536.56,575.98,609.34
1950,633.01,538.31,645.07,709.69,952.22,538.12,701.52,499.57,956.66,536.31,873.77,519.12,587.30,592.19,672.00,536.73,504.43,903.17,600.68,524.37,503.70,793.38,625.87,478.20,907.38,489.88,490.04,789.01,493.59,523.19,530.20
1951,725.61,678.96,708.02,800.75,1028.52,680.17,754.64,605.05,1047.64,626.03,955.03,644.24,716.88,726.74,723.40,617.51,607.16,965.85,674.18,644.26,624.09,844.60,713.33,587.48,972.49,612.13,583.96,870.70,601.04,610.83,666.56
1952,649.81,601.65,618.02,736.89,924.85,598.14,651.36,545.69,973.34,558.36,865.75,560.95,634.39,640.60,623.90,570.91,538.04,837.66,595.13,563.51,548.18,732.20,666.50,510.96,842.86,553.04,522.20,833.97,543.24,554.21,589.28
1953,597.57,570.79,604.61,640.98,815.25,567.83,627.64,509.58,830.38,541.81,759.84,533.78,583.69,591.17,607.40,508.10,514.43,765.25,582.41,534.19,525.98,691.20,575.55,494.65,768.92,510.50,484.82,686.90,504.75,503.19,561.30
1954,735.40,695.31,713.25,801.91,1073.30,693.27,774.30,593.90,1093.03,612.16,986.31,643.95,731.05,739.61,741.00,643.60,594.30,1000.26,670.07,643.86,623.73,872.35,725.26,578.12,1006.62,612.59,578.82,904.26,590.99,606.38,679.33
1955,833.57,837.64,792.32,931.45,1117.63,839.02,849.56,709.45,1167.38,717.70,1059.26,766.62,853.68,865.32,823.20,736.67,701.62,1025.09,769.93,757.77,743.96,913.83,832.79,683.72,1033.42,743.42,677.07,1015.02,708.67,706.53,817.71
1956,747.79,718.38,725.06,804.06,1038.16,719.09,762.02,623.81,1068.63,645.42,965.74,683.52,774.59,785.95,731.80,658.34,629.28,971.83,691.89,687.36,657.60,871.75,727.29,618.87,972.82,639.10,600.65,887.91,620.43,619.58,705.28
1957,698.93,706.00,651.44,757.83,930.52,717.56,696.37,562.87,971.17,585.22,877.22,674.02,785.01,795.15,672.80,680.36,579.08,854.44,629.15,669.86,628.10,759.29,703.70,583.54,860.82,589.77,576.00,847.24,558.89,592.81,689.14
1958,624.09,460.80,640.99,728.28,1014.15,463.34,707.43,470.13,1038.70,529.82,926.00,469.08,542.68,544.42,672.90,522.84,479.05,934.08,604.94,480.47,450.76,786.16,625.81,437.68,948.25,433.33,469.28,805.23,460.32,516.29,457.11
